Category,Level1,Level2,Level3,Level4,Level5,COND1,COND2,COND3,COND4
GU:87 Oscillibacter,Firmicutes,Clostridiales,Oscillospiraceae,Oscillibacter,GU:87,125,430,721,241
GU:873 Prevotella sp. CAG:873,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:873,0,0,0,0
GU:875 Bacteroides sp. CAG:875,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:875,1,386,10,7
GU:876 Candidatus Methanomassiliicoccus intestinalis,Euryarchaeota,unclassified Thermoplasmata,Methanomassiliicoccaceae,Methanomassiliicoccus,GU:876,0,0,0,0
GU:877 Mycoplasma sp. CAG:877,Tenericutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,GU:877,3,1033,4,2
GU:878 Acholeplasma sp. CAG:878,Tenericutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,GU:878,2,605,0,4
GU:88 Alistipes indistinctus,Bacteroidetes,Bacteroidales,Rikenellaceae,Alistipes,GU:88,18,22,804,194
GU:882 Firmicutes bacterium CAG:882,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:882,0,0,0,0
GU:884 Firmicutes bacterium CAG:884,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:884,0,1,6,6
GU:89 Eubacterium ventriosum,Firmicutes,Clostridiales,Eubacteriaceae,Eubacterium,GU:89,647,682,492,802
GU:891 Prevotella sp. CAG:891,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:891,0,1,0,0
GU:9 Blautia wexlerae,Firmicutes,Clostridiales,Lachnospiraceae,Blautia,GU:9,3102,1983,1089,1710
GU:90 Blautia sp. KLE 1732,Firmicutes,Clostridiales,Lachnospiraceae,Blautia,GU:90,838,316,549,588
GU:91 Clostridium sp. CAG:91,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:91,1657,3624,2471,1685
GU:912 NA,,,,,GU:912,1,0,0,112
GU:914 Clostridium sp. CAG:914,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:914,0,0,0,0
GU:916 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:916,0,0,0,0
GU:917 Acidaminococcus sp. CAG:917,Firmicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus,GU:917,0,0,0,0
GU:92 Firmicutes,Firmicutes,,,,GU:92,58,67,157,45
GU:921 Clostridium sp. CAG:921,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:921,0,0,0,0
GU:923 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:923,0,0,0,0
GU:924 Prevotella sp. CAG:924,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella,GU:924,1,0,0,0
GU:927 Bacteroides sp. CAG:927,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:927,2,0,392,2
GU:929 Parabacteroides,Bacteroidetes,Bacteroidales,Porphyromonadaceae,Parabacteroides,GU:929,3,2,0,1
GU:93 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:93,89,205,115,63
GU:933 Veillonella sp. CAG:933,Firmicutes,Selenomonadales,Veillonellaceae,Veillonella,GU:933,0,0,0,0
GU:938 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:938,0,0,0,0
GU:94 Firmicutes bacterium CAG:94,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:94,4,42,0,4
GU:940 NA,,,,,GU:940,8,1,0,0
GU:944 Roseburia,Firmicutes,Clostridiales,Lachnospiraceae,Roseburia,GU:944,0,0,0,0
GU:945 unclassified Clostridiales,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:945,0,0,1,2
GU:947 NA,,,,,GU:947,2,75,197,1
GU:948 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:948,0,0,0,0
GU:95 Firmicutes bacterium CAG:95,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:95,105,235,228,420
GU:956 Mycoplasma sp. CAG:956,Tenericutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,GU:956,0,0,0,0
GU:96 unclassified Firmicutes,Firmicutes,unclassified Firmicutes,unclassified Firmicutes,unclassified Firmicutes,GU:96,48,230,1309,39
GU:964 Clostridium sp. CAG:964,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:964,0,0,0,0
GU:967 Clostridium sp. CAG:967,Firmicutes,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,GU:967,0,1,0,0
GU:97 Faecalibacterium,Firmicutes,Clostridiales,Ruminococcaceae,Faecalibacterium,GU:97,325,401,146,483
GU:970 NA,,,,,GU:970,0,0,0,0
GU:977 Acetobacter sp. CAG:977,Proteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,GU:977,0,0,0,0
GU:98 Bacteroides massiliensis,Bacteroidetes,Bacteroidales,Bacteroidaceae,Bacteroides,GU:98,5011,1584,2354,2803
GU:983 Blautia,Firmicutes,Clostridiales,Lachnospiraceae,Blautia,GU:983,1,1,0,0
GU:988 Bacillus sp. CAG:988,Firmicutes,Bacillales,Bacillaceae,Bacillus,GU:988,104,0,0,0
GU:99 Roseburia,Firmicutes,Clostridiales,Lachnospiraceae,Roseburia,GU:99,43,215,96,56
